created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-11 05:02:40,917978737806925824,2017-10-11 05:02:40,stromkvi,"Stockholm, Sverige",9,RT @MadeleineMaddis: Tack @ssu_sverige Hoppas ni kan få den äldre majoriteten på er sida! @socialdemokrat #låtdeungastanna #vistårinteut ht…,
2017-10-11 05:01:45,917978505316569088,2017-10-11 05:01:45,stromkvi,"Stockholm, Sverige",5,"RT @nazir9860: Hur konstigt är livet. Ibland tar den slut när man försöker rädda det. #laatdeungastanna 
#vistaarinteut https://t.co/kezaFW…",
2017-10-11 05:00:46,917978257659760640,2017-10-11 05:00:46,MadeleineMaddis,,1,"Är det så här vårt välfärdssverige ska vara @socialdemokrat 
#låtdeungastanna #vistårinteut https://t.co/77RcPLSNcT",
2017-10-11 05:00:46,917978256602787840,2017-10-11 05:00:46,laila_wold,,10,RT @berge_stina: #vistårinteut - Björn Kjellman talar om rättsosäkerhet i asylprocessen https://t.co/WEv0bHXP3g via @YouTube. #rättsosäkerh…,
2017-10-11 04:59:35,917977958983323648,2017-10-11 04:59:35,EnStina,,5,RT @KarlssonIwan: Skrämmande. #vistårinteut https://t.co/UhxPDgNLfN,
2017-10-11 04:56:18,917977134928449536,2017-10-11 04:56:18,stromkvi,"Stockholm, Sverige",5,RT @KarlssonIwan: Skrämmande. #vistårinteut https://t.co/UhxPDgNLfN,
2017-10-11 04:56:13,917977113399001088,2017-10-11 04:56:13,GullanderBjorn,Ljungby,53,"RT @Jonas_Gardell: Låt de unga stanna! #vistårinteut 

https://t.co/hj5BdT3lm2",
2017-10-11 04:56:13,917977113097068544,2017-10-11 04:56:13,MadeleineMaddis,,3,Hej @MRibbenvik det är jag igen. Vad tycker du om att samma personer blir fler o fler #låtdeungastanna #vistårinteut https://t.co/3QfRKhJvye,
2017-10-11 04:48:39,917975208849563649,2017-10-11 04:48:39,MadeleineMaddis,,1,Är @socialdemokrat medvetna om vad väljarna snart kommer att visa? #låtdeungastanna #vistårinteut https://t.co/olhUfe2EKp,
2017-10-11 04:46:36,917974692618792960,2017-10-11 04:46:36,Hamnviken,"Kramfors, Sweden",3,"RT @MadeleineMaddis: Fruktansvärt att @Migrationsverk och @SwedishPM låter detta ske
#låtdeungastanna #vistårinteut https://t.co/bbHVRhMXWn",
