created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-18 18:51:12,920723960182001666,2017-10-18 18:51:12,fransson_dennis,"Knivsta, Sverige",1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:51:10,920723951130685440,2017-10-18 18:51:10,OsloHolm,Oslo,16,"RT @MagnusHultman: Uppmaning till samtliga: 1, läs #metoo. 2, reflektera. 3, ta åt er.",
2017-10-18 18:50:51,920723869589221376,2017-10-18 18:50:51,LarkLinnea,"Gothenburg, Sweden",0,"Ni som fortfarande inte förstår, killarna som driver med den här tagen, gå och ta er! Inte någon annan då alltså utan er själva.. #MeToo",
2017-10-18 18:50:51,920723869425655809,2017-10-18 18:50:51,StinanStina,"Mariestad, Sverige",6,RT @SvD: Folkdomstol eller en reaktion mot ett misslyckat rättsamhälle? @martenschultz reder ut det juridiska runt #metoo https://t.co/E8Fm…,
2017-10-18 18:50:50,920723865785028608,2017-10-18 18:50:50,deviadvo,world,2,"RT @RostamiDr: Nu kanske folk fattar att det inte handlar om ""män"" från ""vissa kulturer"" som sverigevänner hävdar #Metoo https://t.co/KvloO…",
2017-10-18 18:50:45,920723846763876353,2017-10-18 18:50:45,klingbergv,,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:50:19,920723737812652032,2017-10-18 18:50:19,elinbjerkesjo,,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:50:05,920723678534553600,2017-10-18 18:50:05,elinjulia,,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:50:03,920723669227376641,2017-10-18 18:50:03,18dPl,,6,"RT @Multimediagone: Så dum! Såklart handlar ""Metoo"" bara om vänster, feminist och kändiskvinnor. Vi andra är lika våldtagna som vanligt 🤦🏻‍…",
2017-10-18 18:49:59,920723651498053632,2017-10-18 18:49:59,lindaylooove,,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:49:55,920723634536239104,2017-10-18 18:49:55,ronjets,,6,RT @hagnestahill_: När jag var yngre så utsattes jag för tjatsex. Fick sen trösta honom när han fick dåligt samvete när jag var ledsen efte…,
